Brasil, Grandes Regiões e Unidades da Federação: Projeções da população com data de referência no dia 1º de cada mês: 2010/2030;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATA;Brasil;Norte;Nordeste;Sudeste;Sul;Centro-Oeste;Rondônia;Acre;Amazonas;Roraima;Pará;Amapá;Tocantins;Maranhão;Piauí;Ceará;Rio Grande do Norte;Paraíba;Pernambuco;Alagoas;Sergipe;Bahia;Minas Gerais;Espírito Santo;Rio de Janeiro;São Paulo;Paraná;Santa Catarina;Rio Grande do Sul;Mato Grosso do Sul;Mato Grosso;Goiás;Distrito Federal
julho, 2010;194.875.052;16.247.841;54.229.734;82.138.970;27.911.930;14.346.577;1.598.381;765.430;3.551.217;459.844;7.765.472;693.857;1.413.640;6.715.260;3.193.930;8.625.391;3.240.375;3.840.945;9.001.011;3.196.933;2.108.757;14.307.132;19.957.386;3.595.291;16.298.103;42.288.190;10.650.244;6.351.544;10.910.142;2.493.878;3.104.317;6.109.715;2.638.667
agosto, 2010;195.017.573;16.267.657;54.255.905;82.198.254;27.930.974;14.364.783;1.600.017;766.537;3.556.859;460.248;7.773.575;695.303;1.415.119;6.718.546;3.194.627;8.629.903;3.242.977;3.842.254;9.006.205;3.198.340;2.110.555;14.312.498;19.968.902;3.599.212;16.306.954;42.323.187;10.657.439;6.358.951;10.914.584;2.496.536;3.107.705;6.118.387;2.642.154
setembro, 2010;195.160.170;16.287.491;54.282.102;82.257.547;27.950.035;14.382.995;1.601.654;767.643;3.562.499;460.676;7.781.672;696.749;1.416.598;6.721.836;3.195.325;8.634.424;3.245.578;3.843.572;9.011.400;3.199.746;2.112.353;14.317.867;19.980.421;3.603.135;16.315.815;42.358.175;10.664.640;6.366.366;10.919.029;2.499.195;3.111.098;6.127.059;2.645.643
outubro, 2010;195.302.839;16.307.345;54.308.325;82.316.846;27.969.111;14.401.212;1.603.293;768.749;3.568.137;461.128;7.789.765;698.194;1.418.079;6.725.128;3.196.025;8.638.953;3.248.178;3.844.900;9.016.599;3.201.150;2.114.152;14.323.240;19.991.945;3.607.060;16.324.688;42.393.154;10.671.848;6.373.788;10.923.476;2.501.855;3.114.496;6.135.729;2.649.132
novembro, 2010;195.445.578;16.327.217;54.334.573;82.376.151;27.988.203;14.419.434;1.604.933;769.854;3.573.774;461.604;7.797.852;699.639;1.419.560;6.728.424;3.196.727;8.643.490;3.250.775;3.846.237;9.021.800;3.202.552;2.115.951;14.328.616;20.003.471;3.610.987;16.333.571;42.428.122;10.679.062;6.381.216;10.927.925;2.504.515;3.117.899;6.144.397;2.652.623
dezembro, 2010;195.588.384;16.347.107;54.360.845;82.435.461;28.007.310;14.437.661;1.606.575;770.960;3.579.409;462.104;7.805.935;701.083;1.421.041;6.731.723;3.197.431;8.648.035;3.253.371;3.847.583;9.027.004;3.203.953;2.117.749;14.333.995;20.015.001;3.614.916;16.342.464;42.463.080;10.686.283;6.388.651;10.932.375;2.507.177;3.121.306;6.153.065;2.656.114
janeiro, 2011;195.731.254;16.367.016;54.387.140;82.494.774;28.026.430;14.455.893;1.608.218;772.065;3.585.042;462.628;7.814.013;702.527;1.422.523;6.735.024;3.198.137;8.652.588;3.255.966;3.848.938;9.032.210;3.205.353;2.119.548;14.339.377;20.026.534;3.618.847;16.351.367;42.498.026;10.693.510;6.396.092;10.936.828;2.509.839;3.124.717;6.161.731;2.659.607
fevereiro, 2011;195.874.186;16.386.941;54.413.459;82.554.090;28.045.565;14.474.130;1.609.862;773.169;3.590.674;463.175;7.822.086;703.970;1.424.005;6.738.329;3.198.844;8.657.149;3.258.558;3.850.302;9.037.418;3.206.750;2.121.347;14.344.761;20.038.069;3.622.780;16.360.280;42.532.961;10.700.743;6.403.540;10.941.282;2.512.502;3.128.133;6.170.395;2.663.100
março, 2011;196.017.176;16.406.884;54.439.800;82.613.407;28.064.714;14.492.371;1.611.507;774.273;3.596.303;463.746;7.830.154;705.412;1.425.488;6.741.636;3.199.554;8.661.717;3.261.149;3.851.675;9.042.628;3.208.146;2.123.146;14.350.149;20.049.606;3.626.715;16.369.202;42.567.884;10.707.981;6.410.994;10.945.738;2.515.165;3.131.554;6.179.057;2.666.594
abril, 2011;196.160.222;16.426.844;54.466.163;82.672.725;28.083.875;14.510.615;1.613.154;775.377;3.601.931;464.339;7.838.217;706.854;1.426.972;6.744.946;3.200.264;8.666.293;3.263.738;3.853.056;9.047.841;3.209.540;2.124.945;14.355.538;20.061.146;3.630.651;16.378.133;42.602.794;10.715.225;6.418.454;10.950.196;2.517.829;3.134.978;6.187.718;2.670.090
maio, 2011;196.303.321;16.446.820;54.492.547;82.732.041;28.103.049;14.528.864;1.614.802;776.481;3.607.556;464.955;7.846.275;708.295;1.428.455;6.748.259;3.200.977;8.670.876;3.266.326;3.854.446;9.053.056;3.210.933;2.126.744;14.360.930;20.072.687;3.634.589;16.387.074;42.637.692;10.722.475;6.425.921;10.954.654;2.520.494;3.138.407;6.196.376;2.673.586
junho, 2011;196.446.470;16.466.812;54.518.952;82.791.356;28.122.236;14.547.115;1.616.451;777.584;3.613.180;465.594;7.854.327;709.735;1.429.940;6.751.574;3.201.691;8.675.467;3.268.911;3.855.845;9.058.272;3.212.324;2.128.543;14.366.324;20.084.230;3.638.528;16.396.023;42.672.575;10.729.729;6.433.392;10.959.114;2.523.160;3.141.841;6.205.033;2.677.082
julho, 2011;196.589.667;16.486.819;54.545.376;82.850.667;28.141.434;14.565.370;1.618.102;778.687;3.618.801;466.255;7.862.375;711.175;1.431.424;6.754.892;3.202.407;8.680.064;3.271.495;3.857.252;9.063.491;3.213.713;2.130.342;14.371.719;20.095.774;3.642.469;16.404.980;42.707.445;10.736.989;6.440.870;10.963.575;2.525.826;3.145.278;6.213.687;2.680.580
agosto, 2011;196.732.907;16.506.842;54.571.819;82.909.975;28.160.643;14.583.628;1.619.753;779.789;3.624.421;466.938;7.870.417;712.614;1.432.909;6.758.212;3.203.124;8.684.669;3.274.077;3.858.667;9.068.711;3.215.101;2.132.141;14.377.117;20.107.319;3.646.411;16.413.945;42.742.300;10.744.254;6.448.353;10.968.036;2.528.492;3.148.719;6.222.340;2.684.078
setembro, 2011;196.876.190;16.526.880;54.598.280;82.969.277;28.179.863;14.601.889;1.621.406;780.891;3.630.038;467.643;7.878.454;714.053;1.434.395;6.761.535;3.203.842;8.689.280;3.276.657;3.860.091;9.073.933;3.216.487;2.133.940;14.382.516;20.118.865;3.650.355;16.422.918;42.777.140;10.751.524;6.455.841;10.972.498;2.531.159;3.152.164;6.230.990;2.687.576
outubro, 2011;197.019.511;16.546.933;54.624.760;83.028.573;28.199.094;14.620.152;1.623.060;781.993;3.635.654;468.370;7.886.485;715.491;1.435.880;6.764.860;3.204.563;8.693.898;3.279.235;3.861.522;9.079.156;3.217.871;2.135.739;14.387.916;20.130.411;3.654.300;16.431.898;42.811.964;10.758.798;6.463.335;10.976.961;2.533.826;3.155.613;6.239.637;2.691.075
